y_true_0,y_true_1,y_true_2,y_true_3,y_true_4,y_true_5
1.535011514962751988e+01,9.983300021791288170e-01,1.028328690451662055e+02,1.217637744075918960e+00,4.907126905333041833e+01,1.096823877243696010e+00
2.720660887679728912e+00,1.053724554324164009e+00,3.729617676742839905e+01,1.498899416741908075e+00,1.491664948812618974e+01,1.380197382289588104e+00
2.678413605521627971e+01,1.041005668178722976e+00,1.724187108158330091e+02,1.235395782334526071e+00,8.297343445673614326e+01,1.146000373626260060e+00
1.234111196071877004e+01,1.031532005581285105e+00,1.011221851953037998e+02,1.271154123906172995e+00,4.402144184605531763e+01,1.152494589884899057e+00
1.461944883305137033e+01,1.119777209831450904e+00,1.397716781327204103e+02,1.301874774865644069e+00,6.068607821453871765e+01,1.213078693082145110e+00
1.783881280779527856e+01,1.011609835818650049e+00,1.106559163587841965e+02,1.256638965171503974e+00,5.184038599111232060e+01,1.132040084377327949e+00
2.444525820428883023e+01,1.037543511666128904e+00,1.708624119179600882e+02,1.196942350171507963e+00,7.926161679024762918e+01,1.101289539619328961e+00
1.530867022276870060e+01,1.036561415387736051e+00,9.740032252516103028e+01,1.393725364468713090e+00,3.972189334594219901e+01,1.213835122322574067e+00
8.022345142218528125e+00,1.014880127474176108e+00,6.932607529734596596e+01,1.313952240507507918e+00,2.997501157160764862e+01,1.188324857871007945e+00
1.391150102692568069e+01,1.053684296369566065e+00,1.196806963646722011e+02,1.268930179005407055e+00,5.122537786254503089e+01,1.154262395074775016e+00
1.248017830279735918e+01,1.164429429251240045e+00,1.307150814284188982e+02,1.348584233423057999e+00,5.753860214134039097e+01,1.275260277999253899e+00
7.808300696582126221e+00,1.072105332693557900e+00,8.223533523410941370e+01,1.359786604055849946e+00,3.344814738666249809e+01,1.238220796753241926e+00
2.085830236022188089e+01,1.023880399535840091e+00,1.360430092525787131e+02,1.216588412427674015e+00,6.474629154148236410e+01,1.117742536923649999e+00
2.319199929133149851e+01,1.031336982762836918e+00,1.480096528388974093e+02,1.226800674086550913e+00,7.123482504656706737e+01,1.133108228106096016e+00
1.929073923950542024e+01,1.020696793674831904e+00,1.272119863915865068e+02,1.220543082739748098e+00,6.024231857802512735e+01,1.118501999940183067e+00
1.089016326133070933e+01,1.008063329375026074e+00,7.538178571002663375e+01,1.348948672090402034e+00,3.494497145367071056e+01,1.176712500074504009e+00
2.420441333685034024e+01,1.030744141958402915e+00,1.419375170432313098e+02,1.240343800942679042e+00,7.013096847413139301e+01,1.146281551738558946e+00
2.029221021384454104e+01,1.016986605629548013e+00,1.299111700331368127e+02,1.209543321252086967e+00,6.227480006364198317e+01,1.108234472143381000e+00
2.648848499066048134e+01,1.039588541114369935e+00,1.767496752199085961e+02,1.209232550292554942e+00,8.345206218891513572e+01,1.119124760943843944e+00
2.474170717681020903e+01,1.014074631185774011e+00,1.483835628976825092e+02,1.184570418820797943e+00,7.340357540774995471e+01,1.088168746142571086e+00
1.171775399537141027e+01,1.599292763429696951e+00,2.310997720592110056e+02,1.820909106968978897e+00,1.085112568515317975e+02,1.750662171936326006e+00
1.540183102415580940e+01,1.038234711966991020e+00,1.216844239525547948e+02,1.251222163169446899e+00,5.353641323754909109e+01,1.139002492359171059e+00
1.504685809954563958e+01,1.134145102158393925e+00,1.447160030032204077e+02,1.310696842928293027e+00,6.372099756290273831e+01,1.231210166073734902e+00
2.303435719064171039e+01,1.033149769651841909e+00,1.587726045956898986e+02,1.203444460472915090e+00,7.387149915343231044e+01,1.105899997014563985e+00
7.741721544763732865e+00,9.972929183432398537e-01,5.838175211605487647e+01,1.336920964957438951e+00,2.588753341263277008e+01,1.201855808886193921e+00
1.946005512804422111e+01,1.031242903483621909e+00,1.132244021335978061e+02,1.318828198742088009e+00,5.296830651514996191e+01,1.171697752864907960e+00
6.136430354316622982e+00,1.514817765722040965e+00,1.360977924333463136e+02,1.805848879217722081e+00,5.921643543571327939e+01,1.778572532673591056e+00
6.028038752163672243e+00,9.810586370495645303e-01,5.125316762976986951e+01,1.329792838373244024e+00,2.250271714468726003e+01,1.184412635099862054e+00
1.189743080801198971e+01,1.016181426604835902e+00,9.436303912968604379e+01,1.249101899720864939e+00,4.192603244333896839e+01,1.126741461848423942e+00
1.498975885005181929e+01,1.025514800688376083e+00,1.013926998106031050e+02,1.303457524318468064e+00,4.678420891064895670e+01,1.186431340232473985e+00
1.815683939866154972e+01,1.027998723271132953e+00,1.331120393616365050e+02,1.213950894098493105e+00,6.069777956271479269e+01,1.105887380241612039e+00
2.030772607896820858e+01,1.027994607041901931e+00,1.128169664335689930e+02,1.282261927351957098e+00,5.359632608403374121e+01,1.161528208255605987e+00
9.208435602264424702e+00,1.367940298752482908e+00,1.319008876127716974e+02,1.555695218376146993e+00,6.309612777023730956e+01,1.536370665421993076e+00
8.265401245526154739e+00,1.315996286291462924e+00,1.191559194549920022e+02,1.544993252796466043e+00,5.486482195326448874e+01,1.528565171097516107e+00
9.470682340608897576e+00,1.011799934458422978e+00,6.987976671144622287e+01,1.390591179351323037e+00,2.862084676555146956e+01,1.210583654738716097e+00
2.543324689156204954e+01,1.026217439613936078e+00,1.502741255215501894e+02,1.210814953890549939e+00,7.453555707229735106e+01,1.120779351868723017e+00
2.383639263110688944e+01,1.011006716608340961e+00,1.420652161021878896e+02,1.188809056443574041e+00,7.038233042333261835e+01,1.088318558340011899e+00
1.592193033476744013e+01,1.114957811422484957e+00,1.480348485835037877e+02,1.294729772496818088e+00,6.453676991463122192e+01,1.207673695318278062e+00
2.077984605070007973e+01,1.013802312072070055e+00,1.239364228474749012e+02,1.228849065624401105e+00,5.980696643076915819e+01,1.117847803344067081e+00
2.018843891831750881e+01,1.007363523069018107e+00,1.223300631295256977e+02,1.219051433235464055e+00,6.005015960206314674e+01,1.100630003983843919e+00
1.998221409314312069e+01,1.023234360563177958e+00,1.343709986542579884e+02,1.213869526568674972e+00,6.315103477383173214e+01,1.112233698920134017e+00
1.459729623069912918e+01,1.006540926250222956e+00,9.684259924897062888e+01,1.247920095904800020e+00,4.530875518137101921e+01,1.131337323104647963e+00
1.576345388352473087e+01,1.003133947207436094e+00,1.062784283807056056e+02,1.217202236913826896e+00,5.023061462063407134e+01,1.101606082555210975e+00
2.120072843479158919e+01,1.048108880531003040e+00,1.571568601871535975e+02,1.248500131912172906e+00,7.099060015473689589e+01,1.149063494600623958e+00
1.799864173930222933e+01,1.033211361971043019e+00,1.049073220224229033e+02,1.338045056886498108e+00,4.625493344653477834e+01,1.187386558206444009e+00
1.687527568306049019e+01,1.062834054812406892e+00,1.414050859087500953e+02,1.267705301330374956e+00,6.103057890822459797e+01,1.161838511197522017e+00
2.329197118711971015e+01,1.040650625780664917e+00,1.621623712776604975e+02,1.224102377889072946e+00,7.513082177180052668e+01,1.128723841015981000e+00
2.353559220030613020e+01,1.038721314050162103e+00,1.600048932757372029e+02,1.227011373972549002e+00,7.496871634497207992e+01,1.132624352457257011e+00
1.739262493297909984e+01,1.014486507993169973e+00,1.208134024868328993e+02,1.208993347118402006e+00,5.642250611999021004e+01,1.099337204946231994e+00
2.749116298608057107e+01,1.034446001702246987e+00,1.805123813717156906e+02,1.190346585272771929e+00,8.579681714208703625e+01,1.100206378850278055e+00
8.468342944270741413e+00,9.867187438180207160e-01,6.676923331838645481e+01,1.274758958143201060e+00,3.009486475337743983e+01,1.137916447452943958e+00
2.453803676191229144e+01,1.027042768221634095e+00,1.524300710999723094e+02,1.207370577904615105e+00,7.413473410812036946e+01,1.115394262078408971e+00
1.976166397273133057e+01,1.044272053193151084e+00,1.501348875949593946e+02,1.223423660155434911e+00,6.721753242963082187e+01,1.119800579214355052e+00
9.471542648275981691e+00,1.463462563029237051e+00,1.569124460489076966e+02,1.663405297138401018e+00,7.483619451383202659e+01,1.631434284439867932e+00
1.370836091271426938e+01,1.040697081261140022e+00,1.142096005094385021e+02,1.253325052880805091e+00,4.960954832715580665e+01,1.135948742770825914e+00
8.892003524482488430e+00,1.706293192859914098e+00,2.480605584968172082e+02,2.014488269565942957e+00,1.028214414407220971e+02,1.900868884238305023e+00
1.151126538894247986e+01,1.082893009980707033e+00,9.022500482499199848e+01,1.615705346932899911e+00,3.108033982844850129e+01,1.404344390732306991e+00
1.477711445872684060e+01,1.022195408658147064e+00,9.212082757195697980e+01,1.333547374346222059e+00,4.050844650995068719e+01,1.182683286975171111e+00
1.815904696449134903e+01,1.028391314005727919e+00,1.037243445361937972e+02,1.303256513821962059e+00,4.820832696163245856e+01,1.174439343679223979e+00
2.283887581663415034e+01,1.010720919618961045e+00,1.363697217168601128e+02,1.198771737797172943e+00,6.707198806750758990e+01,1.095038926344743979e+00
1.385028049738050981e+01,1.437830686676843106e+00,1.895162634832078083e+02,1.600278103816157982e+00,9.987177371636059320e+01,1.584272016959286988e+00
6.542348064464719393e+00,1.067636953362901986e+00,7.153616400225449468e+01,1.363761437695540923e+00,2.918263173308649883e+01,1.237908449849308923e+00
2.261789716530686078e+01,1.041647942417488926e+00,1.643392111469964050e+02,1.207105878632688922e+00,7.501068389854408736e+01,1.108533173501764058e+00
1.708782214910306152e+01,1.026451914027928014e+00,1.042796229290919001e+02,1.295954423302438041e+00,4.920818066719841255e+01,1.179241488254566983e+00
7.261815479670255868e+00,1.002370581657251014e+00,6.471863327904002006e+01,1.288988355504820937e+00,2.829333067929788115e+01,1.153787487155484959e+00
1.729301987375188077e+01,1.013461978067343949e+00,1.205663922722558965e+02,1.206109025984194005e+00,5.642144266045841761e+01,1.095903551698022005e+00
2.408792900233353862e+01,1.039413886784011920e+00,1.685585644841659985e+02,1.206400389325706035e+00,7.789487116706726511e+01,1.110902220869921075e+00
1.982135024941415935e+01,1.007831635298843009e+00,1.226497453374852000e+02,1.213208568667248910e+00,5.927162547193479725e+01,1.102093913118989077e+00
2.221412045531770829e+01,1.010695065636664003e+00,1.362098997356835071e+02,1.192194602254877056e+00,6.674658510367913777e+01,1.089937120511565993e+00
1.192708125527598995e+01,1.180918292359292909e+00,1.298669892823886016e+02,1.379354971481641101e+00,5.755823631926323714e+01,1.317528236964577104e+00
1.150522201463981986e+01,1.051633452384262979e+00,1.037158131112572050e+02,1.284816689844749948e+00,4.387157627873963861e+01,1.164161495183378969e+00
1.471318011082190047e+01,1.002550224828326009e+00,9.785770330168652720e+01,1.249616309949076021e+00,4.554247812332697265e+01,1.124664893008008093e+00
1.971679291845832083e+01,1.025083305970126979e+00,1.174802599599577064e+02,1.294920002438612938e+00,5.448535514696113324e+01,1.155881294282103067e+00
1.668917494810728996e+01,1.001930728112601088e+00,1.105995554756290034e+02,1.207729588903071916e+00,5.296733783383226069e+01,1.092569702369482920e+00
